Vgs,L1,Id,gm,cgs,ro,gm/id,gm/cgs,gmro,Id/W
1.01,0.2,0.000768977,0.003467054,9.53E-15,5724.252456,4.508657606,3.64E+11,19.84629237,76.8977
1,0.2,0.000734447,0.003438595,9.49E-15,5898.39658,4.681883104,3.62E+11,20.28219699,73.4447
0.99,0.2,0.000700212,0.003408138,9.46E-15,6083.827847,4.867294477,3.60E+11,20.73452487,70.0212
0.98,0.2,0.000666292,0.003375424,9.43E-15,6281.758214,5.065983082,3.58E+11,21.20359744,66.6292
0.97,0.2,0.000632712,0.003340156,9.40E-15,6493.582393,5.279109611,3.55E+11,21.68957819,63.2712
0.96,0.2,0.000599499,0.003301999,9.36E-15,6720.913399,5.507930789,3.53E+11,22.19244932,59.9499
0.95,0.2,0.000566683,0.003260579,9.32E-15,6965.626722,5.753797096,3.50E+11,22.71197621,56.6683
0.94,0.2,0.000534299,0.00321548,9.28E-15,7229.899974,6.018128426,3.46E+11,23.24759877,53.4299
0.93,0.2,0.000502387,0.003166249,9.24E-15,7516.287796,6.302410293,3.43E+11,23.79843872,50.2387
0.92,0.2,0.00047099,0.003112397,9.20E-15,7827.794777,6.608201873,3.38E+11,24.36320498,47.099
0.91,0.2,0.000440156,0.003053405,9.15E-15,8167.972726,6.937097302,3.34E+11,24.94012876,44.0156
0.9,0.2,0.000409941,0.002988739,9.10E-15,8541.022531,7.29065646,3.28E+11,25.52688714,40.9941
0.89,0.2,0.000380402,0.002917863,9.05E-15,8951.966434,7.67047229,3.22E+11,26.12061163,38.0402
0.88,0.2,0.000351606,0.002840261,9.00E-15,9406.789068,8.077965109,3.16E+11,26.71773612,35.1606
0.87,0.2,0.000323621,0.00275546,8.94E-15,9912.708687,8.514465996,3.08E+11,27.31407228,32.3621
0.86,0.2,0.000296522,0.002663068,8.88E-15,10478.4129,8.981013213,3.00E+11,27.90472608,29.6522
0.85,0.2,0.000270386,0.00256281,8.82E-15,11114.40344,9.478338376,2.90E+11,28.48410429,27.0386
0.84,0.2,0.000245292,0.002454567,8.76E-15,11833.45267,10.00671445,2.80E+11,29.04600243,24.5292
0.83,0.2,0.000221321,0.002338426,8.69E-15,12651.1128,10.56576647,2.69E+11,29.5836911,22.1321
0.82,0.2,0.000198549,0.002214718,8.62E-15,13586.39904,11.15451601,2.57E+11,30.0900425,19.8549
0.81,0.2,0.00017705,0.002084058,8.54E-15,14662.6147,11.77101384,2.44E+11,30.55773947,17.705
0.8,0.2,0.000156888,0.001947364,8.46E-15,15908.40829,12.4124471,2.30E+11,30.97946161,15.6888
0.79,0.2,0.000138118,0.001805871,8.38E-15,17359.07082,13.0748418,2.15E+11,31.34824258,13.8118
0.78,0.2,0.000120781,0.001661111,8.29E-15,19058.18999,13.75308202,2.00E+11,31.65776903,12.0781
0.77,0.2,0.000104901,0.001514871,8.20E-15,21059.68103,14.44095862,1.85E+11,31.90270006,10.4901
0.76,0.2,9.05E-05,0.001369122,8.11E-15,23430.34825,15.13136256,1.69E+11,32.07900526,9.04824
0.75,0.2,7.75E-05,0.001225927,8.01E-15,26253.07916,15.81633127,1.53E+11,32.18435857,7.75102
0.74,0.2,6.59E-05,0.001087328,7.90E-15,29630.7973,16.48750694,1.38E+11,32.21839557,6.59486
0.73,0.2,5.57E-05,0.000955224,7.79E-15,33691.41694,17.13655796,1.23E+11,32.18286017,5.57419
0.72,0.2,4.68E-05,0.000831264,7.68E-15,38593.97517,17.75564807,1.08E+11,32.08179761,4.68169
0.71,0.2,3.91E-05,0.000716751,7.56E-15,44536.2485,18.33821072,94848454372,31.92139174,3.90851
0.7,0.2,3.24E-05,0.000612581,7.43E-15,51764.38921,18.87918601,82426381049,31.70985542,3.24474
0.69,0.2,2.68E-05,0.000519222,7.30E-15,60584.80085,19.3758387,71108976167,31.45696752,2.67974
0.68,0.2,2.20E-05,0.000436732,7.17E-15,71379.3197,19.82745862,60939930985,31.17359736,2.20266
0.67,0.2,1.80E-05,0.000364801,7.03E-15,84624.4199,20.23566642,51919510637,30.87103069,1.80276
0.66,0.2,1.47E-05,0.00030283,6.88E-15,100915.5666,20.60430416,44010187621,30.56023075,1.46974
0.65,0.2,1.19E-05,0.000250013,6.73E-15,120998.6649,20.93821029,37146009087,30.25120291,1.19405
0.64,0.2,9.67E-06,0.00020542,6.58E-15,145810.4715,21.24357015,31240987144,29.95235789,0.966974
0.63,0.2,7.81E-06,0.000168074,6.42E-15,176530.5152,21.52612098,26198368621,29.6701545,0.78079
0.62,0.2,6.29E-06,0.00013701,6.25E-15,214648.1477,21.79139635,21917869798,29.40887832,0.628733
0.61,0.2,5.05E-06,0.000111318,6.08E-15,262048.6703,22.04399769,18301566972,29.17073388,0.504981
0.6,0.2,4.05E-06,9.02E-05,5.91E-15,321124.2947,22.28730322,15257635109,28.95598317,0.404583
0.59,0.2,3.23E-06,7.28E-05,5.73E-15,394916.3212,22.5234592,12702789293,28.76337878,0.32337
0.58,0.2,2.58E-06,5.87E-05,5.55E-15,487297.8506,22.75347284,10563246266,28.59056893,0.257858
0.57,0.2,2.05E-06,4.71E-05,5.37E-15,603207.9807,22.97762136,8774698304,28.43451242,0.205151
0.56,0.2,1.63E-06,3.78E-05,5.19E-15,748953.1507,23.19523143,7281843242,28.29192247,0.162858
0.55,0.2,1.29E-06,3.02E-05,5.00E-15,932592.2334,23.40561365,6037514921,28.15951058,0.129007
0.54,0.2,1.02E-06,2.41E-05,4.81E-15,1164430.378,23.6075582,5001664073,28.03419699,0.101982
0.53,0.2,8.05E-07,1.91E-05,4.62E-15,1457659.014,23.80026324,4140426250,27.91333926,0.0804589
0.52,0.2,6.34E-07,1.52E-05,4.44E-15,1829169.138,23.9826766,3425237869,27.79473722,0.0633594
0.51,0.2,4.98E-07,1.20E-05,4.25E-15,2300602.206,24.15418316,2832025236,27.67661263,0.0498057
0.5,0.2,3.91E-07,9.50E-06,4.06E-15,2899699.678,24.31433615,2340517131,27.55765255,0.0390865
0.49,0.2,3.06E-07,7.49E-06,3.87E-15,3662035.169,24.46299821,1933695523,27.43691229,0.0306269
0.48,0.2,2.40E-07,5.90E-06,3.69E-15,4633250.429,24.60001836,1597270225,27.31381283,0.0239641
0.47,0.2,1.87E-07,4.63E-06,3.51E-15,5871907.853,24.72579982,1319281860,27.18797856,0.0187261
0.46,0.2,1.46E-07,3.63E-06,3.33E-15,7453203.2,24.8406749,1089722779,27.05933122,0.0146154
0.45,0.2,1.14E-07,2.84E-06,3.16E-15,9473671.247,24.94505292,900250844.9,26.92785894,0.0113946
0.44,0.2,8.87E-08,2.22E-06,2.99E-15,12057320.02,25.03961815,743915960.3,26.79372831,0.00887472
0.43,0.2,6.91E-08,1.74E-06,2.82E-15,15363454,25.12492217,614944215.3,26.65715976,0.0069059
0.42,0.2,5.37E-08,1.35E-06,2.66E-15,19596780.56,25.2016292,508553153.3,26.51844184,0.00536951
